,wall_time,step,value
0,1654224417.0861752,3,0.5525597929954529
1,1654224869.7363455,7,0.5527696013450623
2,1654225347.391445,11,0.5531892776489258
3,1654225802.7168407,15,0.5521401762962341
4,1654226260.5690012,19,0.5530843734741211
5,1654226730.7333817,23,0.5549727082252502
6,1654227268.352897,27,0.5558120012283325
7,1654227760.3056767,31,0.5568611025810242
8,1654228251.7625146,35,0.5565463900566101
9,1654228698.223026,39,0.5567561984062195
10,1654229165.807402,43,0.558539628982544
11,1654229673.847112,47,0.5575954914093018
12,1654230095.1962135,51,0.5581200122833252
13,1654230587.427656,55,0.5574905872344971
14,1654230898.505616,59,0.5580151081085205
15,1654231180.3578055,63,0.5570709109306335
16,1654231450.5013347,67,0.5570709109306335
17,1654231711.1906164,71,0.5582249164581299
18,1654231984.745682,75,0.5582249164581299
19,1654232248.8288016,79,0.5567561984062195
20,1654232512.273574,83,0.5587494969367981
21,1654232794.3875535,87,0.5583298206329346
22,1654233060.4444904,91,0.5581200122833252
23,1654233334.0929375,95,0.5587494969367981
24,1654233598.5518105,99,0.5588544011116028
25,1654233865.1527596,103,0.5608476996421814
26,1654234131.8515098,107,0.5602182149887085
27,1654234422.7520018,111,0.5589593052864075
28,1654234701.460692,115,0.5601133108139038
29,1654234968.0285876,119,0.5599035024642944
30,1654235239.637761,123,0.5594838261604309
31,1654235509.3935227,127,0.5599035024642944
32,1654235772.5408812,131,0.5590642094612122
33,1654236039.892496,135,0.5597985982894897
34,1654236316.40201,139,0.5587494969367981
35,1654236584.3313868,143,0.5594838261604309
36,1654236843.7879307,147,0.5593789219856262
37,1654237106.1844616,151,0.5611624121665955
38,1654237368.175155,155,0.5593789219856262
39,1654237632.9441786,159,0.5605329275131226
40,1654237906.84497,163,0.5607427358627319
41,1654238171.1835515,167,0.5603231191635132
42,1654238442.4813278,171,0.5603231191635132
43,1654238713.1964672,175,0.5599035024642944
44,1654238976.0339408,179,0.5600084066390991
45,1654239237.8862443,183,0.5601133108139038
46,1654239504.785408,187,0.5593789219856262
47,1654239773.0742817,191,0.5594838261604309
48,1654240037.611471,195,0.5603231191635132
49,1654240305.9616578,199,0.5613722205162048
50,1654240578.6880195,203,0.5620017051696777
51,1654240843.2445679,207,0.5605329275131226
52,1654241105.1393704,211,0.5603231191635132
53,1654241388.3010488,215,0.5601133108139038
54,1654241652.701145,219,0.5607427358627319
55,1654241916.2504406,223,0.5613722205162048
56,1654242185.5989451,227,0.5617918372154236
57,1654242455.586229,231,0.5607427358627319
58,1654242717.1889753,235,0.5596936345100403
59,1654242989.7352219,239,0.5608476996421814
60,1654243256.7312279,243,0.5610575079917908
61,1654243530.4709475,247,0.5609526038169861
62,1654243811.8252337,251,0.5621066093444824
63,1654244082.641608,255,0.5614771246910095
64,1654244343.1253731,259,0.5615820288658142
65,1654244614.1133687,263,0.5608476996421814
66,1654244888.1873426,267,0.5610575079917908
67,1654245151.9308476,271,0.5607427358627319
68,1654245417.6517577,275,0.5616869330406189
69,1654245684.9538445,279,0.5617918372154236
70,1654245954.4766371,283,0.5592740178108215
71,1654246215.2195194,287,0.5592740178108215
72,1654246491.8888185,291,0.5597985982894897
73,1654246757.1748886,295,0.5597985982894897
74,1654247022.128396,299,0.5600084066390991
75,1654247290.782458,303,0.5606378316879272
76,1654247558.9857576,307,0.5606378316879272
77,1654247824.1636298,311,0.5612673163414001
78,1654248093.1804807,315,0.5622115135192871
79,1654248363.9190557,319,0.5612673163414001
80,1654248631.571702,323,0.5605329275131226
81,1654248893.283228,327,0.5607427358627319
82,1654249165.287336,331,0.5620017051696777
83,1654249428.741951,335,0.5620017051696777
84,1654249701.682808,339,0.5620017051696777
85,1654249979.2877924,343,0.5636802315711975
86,1654250246.1941288,347,0.5621066093444824
87,1654250513.410733,351,0.5624213218688965
88,1654250783.2069864,355,0.5625262260437012
89,1654251048.157068,359,0.5636802315711975
90,1654251314.515502,363,0.5646244287490845
91,1654251608.0795712,367,0.5637851357460022
92,1654251872.774176,371,0.5634704232215881
93,1654252145.6650882,375,0.5626311302185059
94,1654252410.0655315,379,0.5624213218688965
95,1654252678.9871106,383,0.5633655190467834
96,1654252940.9935868,387,0.5653588175773621
97,1654253217.9825892,391,0.5658833384513855
98,1654253488.4927847,395,0.5659882426261902
99,1654253756.3324924,399,0.5669324398040771
100,1654254030.8117616,403,0.5659882426261902
101,1654254294.2366736,407,0.5649391412734985
102,1654254560.3262136,411,0.5627360343933105
103,1654254831.5125136,415,0.5630507469177246
104,1654255104.4879143,419,0.5638900399208069
105,1654255368.6691716,423,0.5645195245742798
106,1654255635.9238849,427,0.5640998482704163
107,1654255900.7949831,431,0.5649391412734985
108,1654256164.099317,435,0.5649391412734985
109,1654256433.35384,439,0.5670373439788818
110,1654256716.101603,443,0.5657784342765808
111,1654256992.2037218,447,0.5666177272796631
112,1654257257.1979237,451,0.5659882426261902
113,1654257521.7012525,455,0.5663029551506042
114,1654257787.567776,459,0.5657784342765808
115,1654258053.28009,463,0.5682962536811829
116,1654258329.5703404,467,0.5667226314544678
117,1654258599.5999427,471,0.5669324398040771
118,1654258884.4793952,475,0.5678766369819641
119,1654259153.3110933,479,0.5670373439788818
120,1654259416.6736655,483,0.5657784342765808
121,1654259680.3304622,487,0.5667226314544678
122,1654259948.8509426,491,0.56756192445755
123,1654260227.8039675,495,0.5671422481536865
124,1654260502.1044483,499,0.56756192445755
125,1654260767.8795512,503,0.5672471523284912
126,1654261030.3123374,507,0.5672471523284912
127,1654261293.630209,511,0.5682962536811829
128,1654261554.1599212,515,0.569765031337738
129,1654261838.9183912,519,0.5699748396873474
