,wall_time,step,value
0,1655646298.6239953,3,0.6248764991760254
1,1655646796.8059309,7,0.6254438757896423
2,1655647353.5285642,11,0.630426287651062
3,1655647980.720461,15,0.6318092346191406
4,1655648524.0168967,19,0.6416075229644775
5,1655649122.2381,23,0.6444981694221497
6,1655649602.4803517,27,0.6488235592842102
7,1655650126.5334349,31,0.652437150478363
8,1655650592.9710097,35,0.6561316251754761
9,1655651124.978754,39,0.6552702784538269
10,1655651647.8465962,43,0.6551932096481323
11,1655652131.672905,47,0.6571696996688843
12,1655652550.281408,51,0.6627280712127686
13,1655653015.9356499,55,0.6670458912849426
14,1655653611.79597,59,0.6685642600059509
15,1655654151.6956096,63,0.6723040342330933
16,1655654634.3156493,67,0.6744784712791443
17,1655655426.4172146,71,0.6753760576248169
18,1655657009.0994093,75,0.6773280501365662
19,1655658874.1685147,79,0.6759139895439148
20,1655659396.0184472,83,0.6772968769073486
21,1655659862.442174,87,0.6813125610351562
22,1655660343.3643653,91,0.6798746585845947
23,1655660869.4744117,95,0.6782029271125793
24,1655661354.667239,99,0.6754779815673828
25,1655661894.982613,103,0.6798792481422424
26,1655662384.5505016,107,0.6804685592651367
27,1655662945.3048828,111,0.6838197708129883
28,1655663439.4025967,115,0.682294487953186
29,1655663919.7096848,119,0.6790366172790527
30,1655664446.9583528,123,0.6816272735595703
31,1655664954.64257,127,0.6829314231872559
32,1655665386.4169314,131,0.6831017732620239
33,1655665862.3935547,135,0.6803743243217468
34,1655666403.5350366,139,0.6798467636108398
35,1655666899.0414424,143,0.6846648454666138
36,1655667370.8319201,147,0.6902523040771484
37,1655667822.5491986,151,0.6908391714096069
38,1655668292.0302668,155,0.6944400668144226
39,1655668718.7610364,159,0.6903092265129089
40,1655669230.1585903,163,0.6949443221092224
41,1655669831.0097914,167,0.695010781288147
42,1655670380.57212,171,0.697975218296051
43,1655670951.4574883,175,0.697367250919342
44,1655671452.855606,179,0.7018867135047913
45,1655671957.8306057,183,0.7043335437774658
46,1655672444.5270605,187,0.7001458406448364
47,1655672983.180864,191,0.6988496780395508
48,1655673476.5220604,195,0.7028795480728149
49,1655673945.3215616,199,0.7055280804634094
50,1655674433.4888053,203,0.7029056549072266
51,1655674899.5796642,207,0.7045217752456665
52,1655675442.008412,211,0.7052406072616577
53,1655675921.7628577,215,0.706722617149353
54,1655676538.5780892,219,0.7106795907020569
55,1655677012.4483624,223,0.7107498645782471
56,1655677514.323371,227,0.7102454900741577
57,1655677979.1313384,231,0.7100237607955933
58,1655678487.3626332,235,0.7097001075744629
59,1655678954.1252034,239,0.7095555663108826
60,1655679612.8656251,243,0.7117927074432373
61,1655680137.2954328,247,0.7125301361083984
62,1655680641.794436,251,0.7141894102096558
63,1655681210.1391912,255,0.7178550362586975
64,1655681666.0387251,259,0.7179649472236633
65,1655682202.9807255,263,0.7189622521400452
66,1655682632.9949744,267,0.7197734117507935
